Player,No.,Pos,Ht,Wt,Birth Date,Birth,Exp,College
Mikal Bridges,25.0,SF,6-Jun,209,August 30 1996,us US,6,Villanova
Jalen Brunson,11.0,PG,2-Jun,190,August 31 1996,us US,6,Villanova
Josh Hart,3.0,SG,4-Jun,215,March 6 1995,us US,7,Villanova
OG Anunoby,8.0,PF,7-Jun,232,July 17 1997,gb GB,7,Indiana
Karl-Anthony Towns,32.0,C,Jul-00,248,November 15 1995,us US,9,Kentucky
Cameron Payne,1.0,PG,3-Jun,183,August 8 1994,us US,9,Murray State
Miles McBride,2.0,PG,2-Jun,200,September 8 2000,us US,3,West Virginia
Precious Achiuwa,5.0,C,8-Jun,225,September 19 1999,ng NG,4,Memphis
Tyler Kolek,13.0,PG,1-Jun,195,March 27 2001,us US,R,George Mason Marquette
Landry Shamet,44.0,SG,4-Jun,190,March 13 1997,us US,6,Wichita State
Ariel Hukporti,55.0,C,Jul-00,246,April 11 2002,de DE,R,
Matt Ryan  (TW),37.0,SF,6-Jun,215,April 17 1997,us US,3,Notre Dame Vanderbilt Chattanooga
Jacob Toppin  (TW),0.0,SF,9-Jun,205,May 8 2000,us US,1,Rhode Island Kentucky
Pacome Dadiet,4.0,SG,7-Jun,210,July 27 2005,fr FR,R,
Delon Wright,0.0,PG,5-Jun,185,April 26 1992,us US,9,Utah
Kevin McCullar Jr.  (TW),,SF,6-Jun,210,March 15 2001,us US,R,Texas Tech Kansas
Mitchell Robinson,,C,Jul-00,240,April 1 1998,us US,6,Western Kentucky
Harrison Barnes,40.0,PF,8-Jun,225,May 30 1992,us US,12,UNC
Julian Champagnie,30.0,SF,8-Jun,220,June 29 2001,us US,2,St. John's
Chris Paul,3.0,PG,Jun-00,175,May 6 1985,us US,19,Wake Forest
Stephon Castle,5.0,PG,6-Jun,215,November 1 2004,us US,R,UConn
Keldon Johnson,0.0,SF,5-Jun,220,October 11 1999,us US,5,Kentucky
Victor Wembanyama,1.0,C,3-Jul,235,January 4 2004,fr FR,1,
Devin Vassell,24.0,SG,5-Jun,200,August 23 2000,us US,4,Florida State
Charles Bassey,28.0,C,10-Jun,235,October 28 2000,ng NG,3,Western Kentucky
Jeremy Sochan,10.0,PF,8-Jun,230,May 20 2003,us US,2,Baylor
Sandro Mamukelashvili,54.0,PF,11-Jun,240,May 23 1999,us US,3,Seton Hall
Blake Wesley,14.0,SG,5-Jun,185,March 16 2003,us US,2,Notre Dame
Malaki Branham,22.0,SG,4-Jun,180,May 12 2003,us US,2,Ohio State
De'Aaron Fox,4.0,PG,3-Jun,185,December 20 1997,us US,7,Kentucky
David Duke Jr.  (TW),7.0,SG,5-Jun,205,October 13 1999,us US,3,Providence
Harrison Ingram  (TW),55.0,SF,5-Jun,230,November 27 2002,us US,R,Stanford UNC
Riley Minix  (TW),27.0,SF,7-Jun,230,September 22 2000,us US,R,Southeastern University Morehead State University
Jordan McLaughlin,,PG,Jun-00,185,April 9 1996,us US,5,USC
Patrick Baldwin Jr.,,SF,9-Jun,220,November 18 2002,us US,2,UW-Milwaukee
Collin Sexton,2.0,SG,3-Jun,190,January 4 1999,us US,6,Alabama
Isaiah Collier,13.0,PG,3-Jun,210,October 8 2004,us US,R,USC
Keyonte George,3.0,PG,4-Jun,185,November 8 2003,us US,1,Baylor
Brice Sensabaugh,28.0,SF,6-Jun,235,October 30 2003,us US,1,Ohio State
Kyle Filipowski,22.0,C,11-Jun,250,November 7 2003,us US,R,Duke
Walker Kessler,24.0,C,Jul-00,245,July 26 2001,us US,2,UNC Auburn
Lauri Markkanen,23.0,PF,Jul-00,240,May 22 1997,fi FI,7,Arizona
Johnny Juzang,33.0,SG,7-Jun,215,March 17 2001,us US,2,Kentucky UCLA
John Collins,20.0,PF,9-Jun,235,September 23 1997,us US,7,Wake Forest
Jordan Clarkson,0.0,SG,3-Jun,194,June 7 1992,us US,10,Tulsa Missouri
Cody Williams,5.0,SG,7-Jun,190,November 20 2004,us US,R,Colorado
Micah Potter  (TW),25.0,C,10-Jun,248,April 6 1998,us US,3,Ohio State Wisconsin
Svi Mykhailiuk,19.0,SF,7-Jun,205,June 10 1997,ua UA,6,Kansas
Elijah Harkless  (TW),16.0,SG,3-Jun,195,February 3 2000,us US,R,Cal State Northridge Oklahoma UNLV
Oscar Tshiebwe  (TW),34.0,C,9-Jun,260,November 27 1999,cd CD,1,West Virginia Kentucky
Taylor Hendricks,0.0,PF,9-Jun,210,November 22 2003,us US,1,Central Florida
Josh Richardson,,G,5-Jun,200,September 15 1993,us US,9,Tennessee
KJ Martin,,SF,6-Jun,215,January 6 2001,us US,4,
Malik Beasley,5.0,SG,4-Jun,187,November 26 1996,us US,8,Florida State
Ron Holland,0.0,SF,8-Jun,206,July 7 2005,us US,R,
Tobias Harris,12.0,PF,8-Jun,226,July 15 1992,us US,13,Tennessee
Jalen Duren,0.0,C,10-Jun,250,November 18 2003,us US,2,Memphis
Tim Hardaway Jr.,8.0,SG,5-Jun,205,March 16 1992,us US,11,Michigan
Cade Cunningham,2.0,PG,6-Jun,220,September 25 2001,us US,3,Oklahoma State
Simone Fontecchio,19.0,SF,8-Jun,209,December 9 1995,it IT,2,
Isaiah Stewart,28.0,C,8-Jun,250,May 22 2001,us US,4,Washington
Marcus Sasser,25.0,PG,2-Jun,195,September 21 2000,us US,1,Houston
Jaden Ivey,23.0,SG,4-Jun,195,February 13 2002,us US,2,Purdue
Ausar Thompson,9.0,SF,7-Jun,215,January 30 2003,us US,1,
Paul Reed,7.0,C,9-Jun,210,June 14 1999,us US,4,DePaul
Daniss Jenkins  (TW),24.0,PG,3-Jun,165,August 17 2001,us US,R,University of the Pacific Iona College St. John's
Bobi Klintman,34.0,SF,9-Jun,225,March 6 2003,se SE,R,Wake Forest
Lindy Waters III,,SG,6-Jun,215,July 28 1997,us US,3,Oklahoma State
Dennis Schröder,,PG,1-Jun,172,September 15 1993,de DE,11,
Tolu Smith  (TW),,F,10-Jun,254,July 26 2000,us US,R,Western Kentucky Mississippi State
Ron Harper Jr.  (TW),,SF,6-Jun,245,April 12 2000,us US,2,Rutgers University
